Адрес;Объект;Все регистрации устройств, шт. в мае 2017 г.
Ярославль, московский пр-кт 129;Магазин Дикон Авто;32
Ярославль, московский пр-кт 129;Магазин Дикон Авто;112
Ярославль, комсомольская 20/а;Магазин строительных материалов Аркада;31
Ярославль, комсомольская 20/а;Магазин строительных материалов Аркада;36
Ярославль, свободы 79;Монпансье, студия маникюра и педикюра;46
Ярославль, свободы 79;Монпансье, студия маникюра и педикюра;28
Ярославль, которосльная наб 58;Мясославль магазин;19
Ярославль, которосльная наб 58;Мясославль магазин;6
Ярославль, володарского 36;Оптимист;515
Ярославль, володарского 36;Оптимист;194
Ярославль, промышленная 12;Опытный завод Прогресс;6
Ярославль, промышленная 12;Опытный завод Прогресс;36
Ярославль, свободы 46;офис;34
Ярославль, свободы 46;офис;15
Ярославль, чкалова 32;Пиццерия Какаду;10
Ярославль, чкалова 32;Пиццерия Какаду;18
Ярославль, ленинградский пр-кт 67;Пиццерия Лео;101
Ярославль, ленинградский пр-кт 67;Пиццерия Лео;25
Ярославль, свердлова 68;Подростковй клуб Ровестник;2
Ярославль, свердлова 68;Подростковй клуб Ровестник;3
Ярославль, юности 9/б;Подростковый клую Юность;1
Ярославль, юности 9/б;Подростковый клую Юность;4
Ярославль, елены колесовой 36/2;Проектно-монтажная фирма Теплоцентр;26
Ярославль, елены колесовой 36/2;Проектно-монтажная фирма Теплоцентр;34
Ярославль, майорова 8/а;Производственная компания НПО Регулятор;1
Ярославль, майорова 8/а;Производственная компания НПО Регулятор;2
Ярославль, трефолева 17;Ресторан Monaco;62
Ярославль, трефолева 17;Ресторан Monaco;20
Ярославль, депутатский пер 6;Ресторан У Штирлица;359
Ярославль, депутатский пер 6;Ресторан У Штирлица;139
Ярославль, свободы 46;Рестораны провинции;12
Ярославль, свободы 46;Рестораны провинции;63
Ярославль, свободы 55;Ринг Премьер Отель;1467
Ярославль, свободы 55;Ринг Премьер Отель;7595
Ярославль, трефолева 22;Самое время, антикафе;46
Ярославль, трефолева 22;Самое время, антикафе;22
Ярославль, свободы 46;Свобода Хостел;116
Ярославль, свободы 46;Свобода Хостел;528
Ярославль, свободы 34/в;Свои да Наши;237
Ярославль, свободы 34/в;Свои да Наши;91
Ярославль, машиностроителей пр-кт 9;Свои да Наши Аврора;2
Ярославль, машиностроителей пр-кт 9;Свои да Наши Аврора;1
Ярославль, нахимсона 16;СЕМЬЯ ГАМБИНО;18
Ярославль, нахимсона 16;СЕМЬЯ ГАМБИНО;90
Ярославль, урицкого 44;Сеть магазинов автотоваров Автолига;62
Ярославль, урицкого 44;Сеть магазинов автотоваров Автолига;130
Ярославль, ленинградский пр-кт 37/а;Сидорин;58
